scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
J/20250721/2119,2025-07-10,2025-07-21,PHISHING,SMS,SMS,BANK TRANSFER,SCB,97187072,+6599460859,NA,NA,https://secure-dbs-login.com/verify,1939.89,"I received an SMS from +6599460859 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $1939.89 was made to SCB account 97187072 on 2025-07-10.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
A/20250129/2740,2025-01-07,2025-01-29,PHISHING,SMS,SMS,BANK TRANSFER,CITIBANK,40391065,+6591157949,NA,NA,https://secure-dbs-login.com/verify,475.75,"I received an SMS from +6591157949 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CITIBANK. 
The transaction is as follows:
A transaction of $475.75 was made to CITIBANK account 40391065 on 2025-01-07.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
D/20250115/7787,2025-01-01,2025-01-15,PHISHING,SMS,SMS,BANK TRANSFER,CITIBANK,56766182,+6592994290,NA,NA,https://secure-dbs-login.com/verify,394.44,"I received an SMS from +6592994290 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CITIBANK. 
The transaction is as follows:
A transaction of $394.44 was made to CITIBANK account 56766182 on 2025-01-01.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
A/20250120/7854,2025-01-15,2025-01-20,PHISHING,SMS,SMS,BANK TRANSFER,UOB,47868633,+6592602504,NA,NA,https://secure-dbs-login.com/verify,677.65,"I received an SMS from +6592602504 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $677.65 was made to UOB account 47868633 on 2025-01-15.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
J/20250709/7032,2025-06-10,2025-07-09,PHISHING,SMS,SMS,BANK TRANSFER,CITIBANK,90331190,+6594105957,NA,NA,https://secure-dbs-login.com/verify,328.72,"I received an SMS from +6594105957 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a CITIBANK. 
The transaction is as follows:
A transaction of $328.72 was made to CITIBANK account 90331190 on 2025-06-10.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
D/20250408/7552,2025-03-24,2025-04-08,PHISHING,SMS,SMS,BANK TRANSFER,UOB,28439599,+6595062767,NA,NA,https://secure-dbs-login.com/verify,2362.48,"I received an SMS from +6595062767 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2362.48 was made to UOB account 28439599 on 2025-03-24.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250210/2307,2025-02-02,2025-02-10,PHISHING,SMS,SMS,BANK TRANSFER,UOB,89268705,+6596984768,NA,NA,https://secure-dbs-login.com/verify,2089.71,"I received an SMS from +6596984768 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2089.71 was made to UOB account 89268705 on 2025-02-02.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
G/20250315/7772,2025-03-02,2025-03-15,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,33427086,+6596516590,NA,NA,https://secure-dbs-login.com/verify,1186.69,"I received an SMS from +6596516590 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $1186.69 was made to CIMB account 33427086 on 2025-03-02.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
F/20250610/7944,2025-05-30,2025-06-10,PHISHING,SMS,SMS,BANK TRANSFER,BOC,18304699,+6593156856,NA,NA,https://secure-dbs-login.com/verify,1503.68,"I received an SMS from +6593156856 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $1503.68 was made to BOC account 18304699 on 2025-05-30.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
D/20250716/7490,2025-06-28,2025-07-16,PHISHING,SMS,SMS,BANK TRANSFER,BOC,40331739,+6594015307,NA,NA,https://secure-dbs-login.com/verify,1671.28,"I received an SMS from +6594015307 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $1671.28 was made to BOC account 40331739 on 2025-06-28.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
G/20250712/2477,2025-07-02,2025-07-12,PHISHING,SMS,SMS,BANK TRANSFER,BOC,44587717,+6596219396,NA,NA,https://secure-dbs-login.com/verify,605.74,"I received an SMS from +6596219396 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $605.74 was made to BOC account 44587717 on 2025-07-02.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
D/20250123/7759,2025-01-04,2025-01-23,PHISHING,SMS,SMS,BANK TRANSFER,UOB,48996423,+6596372653,NA,NA,https://secure-dbs-login.com/verify,2045.85,"I received an SMS from +6596372653 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2045.85 was made to UOB account 48996423 on 2025-01-04.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
F/20250327/2263,2025-03-11,2025-03-27,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,72522872,+6591247057,NA,NA,https://secure-dbs-login.com/verify,726.4,"I received an SMS from +6591247057 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $726.40 was made to CIMB account 72522872 on 2025-03-11.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
J/20250223/2140,2025-02-22,2025-02-23,PHISHING,SMS,SMS,BANK TRANSFER,SCB,12038750,+6590263935,NA,NA,https://secure-dbs-login.com/verify,1498.37,"I received an SMS from +6590263935 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $1498.37 was made to SCB account 12038750 on 2025-02-22.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
G/20250511/7017,2025-04-27,2025-05-11,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,84086211,+6593220085,NA,NA,https://secure-dbs-login.com/verify,1755.03,"I received an SMS from +6593220085 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $1755.03 was made to MAYBANK account 84086211 on 2025-04-27.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
F/20250707/2273,2025-06-10,2025-07-07,PHISHING,SMS,SMS,BANK TRANSFER,DBS,56793341,+6596799441,NA,NA,https://secure-dbs-login.com/verify,630.26,"I received an SMS from +6596799441 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $630.26 was made to DBS account 56793341 on 2025-06-10.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
A/20250222/7652,2025-02-06,2025-02-22,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,17659180,+6599509060,NA,NA,https://secure-dbs-login.com/verify,1745.45,"I received an SMS from +6599509060 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $1745.45 was made to HSBC account 17659180 on 2025-02-06.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250801/7700,2025-07-02,2025-08-01,PHISHING,SMS,SMS,BANK TRANSFER,GXS,90250392,+6595021033,NA,NA,https://secure-dbs-login.com/verify,1599.62,"I received an SMS from +6595021033 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $1599.62 was made to GXS account 90250392 on 2025-07-02.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
G/20250614/2693,2025-05-26,2025-06-14,PHISHING,SMS,SMS,BANK TRANSFER,BOC,62185016,+6595714198,NA,NA,https://secure-dbs-login.com/verify,1683.3,"I received an SMS from +6595714198 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $1683.30 was made to BOC account 62185016 on 2025-05-26.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250430/2992,2025-04-10,2025-04-30,PHISHING,SMS,SMS,BANK TRANSFER,UOB,47735866,+6591437708,NA,NA,https://secure-dbs-login.com/verify,1870.0,"I received an SMS from +6591437708 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $1870.00 was made to UOB account 47735866 on 2025-04-10.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
E/20250503/7084,2025-04-25,2025-05-03,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,62655110,+6596038413,NA,NA,https://secure-dbs-login.com/verify,923.81,"I received an SMS from +6596038413 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $923.81 was made to HSBC account 62655110 on 2025-04-25.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
F/20250429/7441,2025-04-26,2025-04-29,PHISHING,SMS,SMS,BANK TRANSFER,GXS,88610158,+6596463219,NA,NA,https://secure-dbs-login.com/verify,1712.48,"I received an SMS from +6596463219 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $1712.48 was made to GXS account 88610158 on 2025-04-26.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
G/20250506/7742,2025-04-23,2025-05-06,PHISHING,SMS,SMS,BANK TRANSFER,SCB,98262244,+6592448380,NA,NA,https://secure-dbs-login.com/verify,1300.3,"I received an SMS from +6592448380 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $1300.30 was made to SCB account 98262244 on 2025-04-23.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
F/20250530/2306,2025-05-21,2025-05-30,PHISHING,SMS,SMS,BANK TRANSFER,DBS,54379937,+6595111313,NA,NA,https://secure-dbs-login.com/verify,2465.12,"I received an SMS from +6595111313 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $2465.12 was made to DBS account 54379937 on 2025-05-21.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250412/2823,2025-03-16,2025-04-12,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,56924593,+6592980258,NA,NA,https://secure-dbs-login.com/verify,2178.64,"I received an SMS from +6592980258 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $2178.64 was made to CIMB account 56924593 on 2025-03-16.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
G/20250703/2990,2025-06-09,2025-07-03,PHISHING,SMS,SMS,BANK TRANSFER,SCB,56465193,+6597744735,NA,NA,https://secure-dbs-login.com/verify,1631.57,"I received an SMS from +6597744735 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $1631.57 was made to SCB account 56465193 on 2025-06-09.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
J/20250503/2851,2025-04-07,2025-05-03,PHISHING,SMS,SMS,BANK TRANSFER,DBS,67243426,+6597534089,NA,NA,https://secure-dbs-login.com/verify,534.23,"I received an SMS from +6597534089 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $534.23 was made to DBS account 67243426 on 2025-04-07.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
A/20250429/2556,2025-04-16,2025-04-29,PHISHING,SMS,SMS,BANK TRANSFER,BOC,89113529,+6595563269,NA,NA,https://secure-dbs-login.com/verify,2675.04,"I received an SMS from +6595563269 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $2675.04 was made to BOC account 89113529 on 2025-04-16.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
G/20250425/2227,2025-04-21,2025-04-25,PHISHING,SMS,SMS,BANK TRANSFER,GXS,89937567,+6590412092,NA,NA,https://secure-dbs-login.com/verify,2150.52,"I received an SMS from +6590412092 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $2150.52 was made to GXS account 89937567 on 2025-04-21.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
J/20250719/7118,2025-07-05,2025-07-19,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,54573875,+6597351204,NA,NA,https://secure-dbs-login.com/verify,2616.59,"I received an SMS from +6597351204 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $2616.59 was made to HSBC account 54573875 on 2025-07-05.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
A/20250412/7307,2025-04-01,2025-04-12,PHISHING,SMS,SMS,BANK TRANSFER,DBS,05123828,+6599392706,NA,NA,https://secure-dbs-login.com/verify,1302.0,"I received an SMS from +6599392706 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $1302.00 was made to DBS account 05123828 on 2025-04-01.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
D/20250705/2644,2025-06-09,2025-07-05,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,66093796,+6593603680,NA,NA,https://secure-dbs-login.com/verify,1198.61,"I received an SMS from +6593603680 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $1198.61 was made to HSBC account 66093796 on 2025-06-09.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
A/20250720/7591,2025-06-27,2025-07-20,PHISHING,SMS,SMS,BANK TRANSFER,GXS,25537147,+6596585795,NA,NA,https://secure-dbs-login.com/verify,235.0,"I received an SMS from +6596585795 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $235.00 was made to GXS account 25537147 on 2025-06-27.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
D/20250414/2632,2025-04-02,2025-04-14,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,99125134,+6596263036,NA,NA,https://secure-dbs-login.com/verify,562.2,"I received an SMS from +6596263036 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $562.20 was made to MAYBANK account 99125134 on 2025-04-02.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
