first_name,last_name,nric,sex,dob,nationality,race,occupation,contact_no,email,blk,street,unit_no,postcode
TING YAN,CHUA,G5221020F,FEMALE,1952-01-30,MALAYSIAN,CHINESE,SECURITY GUARD,+6594101689,tingyan.chua@hotmail.com,98,ADMIRALTY DR,28-15,575394
MIN HAO,GOH,S9377850P,MALE,1993-03-02,SINGAPOREAN,CHINESE,STUDENT,+6590492516,minhao_goh@gmail.com,353,CHINATOWN POINT,28-35,649300
ARJUN,MENON,G6820863K,MALE,1968-04-26,INDIAN,INDIAN,NURSE,+6598536665,a.menon@yahoo.com.sg,12,BEDOK NORTH RD,01-32,148215
JAMES,FERNANDEZ,T0645187A,MALE,2006-01-27,SINGAPOREAN,EURASIAN,STUDENT,+6593008898,j.fernandez@hotmail.com,238,CHINATOWN POINT,34-06,520400
YAN YAN,LEE,S8303850K,FEMALE,1983-09-10,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,+6593278644,yanyan.lee@outlook.com,760,BOON LAY WAY,35-98,934638
AISYAH,BIN ABDULLAH,S9257191Q,FEMALE,1992-08-02,SINGAPOREAN,MALAY,MARKETING EXECUTIVE,+6598254874,aisyah.binabdullah@outlook.com,994,BEDOK NORTH RD,10-92,393418
ARJUN,PILLAI,S6974313E,MALE,1969-05-02,SINGAPOREAN,INDIAN,CLEANER,+6594893511,a.pillai@hotmail.com,277,KALLANG BAHRU,21-51,834764
HAO XIN,CHAN,G8824903K,MALE,1988-10-01,MALAYSIAN,CHINESE,NURSE,+6596011065,haoxin.chan@gmail.com,997,UPPER BUKIT TIMAH RD,14-58,423284
ANITA,MENON,S9412100Y,FEMALE,1994-05-14,SINGAPOREAN,INDIAN,CALL CENTER AGENT,+6592917016,anita.menon@outlook.com,41,GEYLANG RD,29-72,884417
AYESHA,HOSSAIN,G7307029N,FEMALE,1973-02-08,BANGLADESHI,BANGLADESHI,MAINTENANCE TECHNICIAN,+6590365746,a.hossain@gmail.com,76,JURONG WEST ST,29-17,196446
XIN HAO,GOH,G9076870C,MALE,1990-05-21,MALAYSIAN,CHINESE,SECURITY GUARD,+6594695180,xinhao.goh@hotmail.com,466,BOON LAY WAY,10-05,743937
LI HAO,TAN,S5605930Z,MALE,1956-09-02,SINGAPOREAN,CHINESE,DATA ANALYST,+6599135492,lh.tan@yahoo.com.sg,810,WOODLANDS DR,23-73,626797
AISYAH,BINTE RAHMAN,G4822395Z,FEMALE,1948-05-06,MALAYSIAN,MALAY,SOFTWARE DEVELOPER,+6594045872,a.binterahman@hotmail.com,282,BISHAN ST,04-98,330069
YAN YAN,GOH,G6303930Q,FEMALE,1963-03-14,MALAYSIAN,CHINESE,UNEMPLOYED,+6599447399,yanyan.goh@gmail.com,981,JURONG WEST ST,32-70,424065
JIA TING,NG,S5556915J,FEMALE,1955-01-31,SINGAPOREAN,CHINESE,ADMINISTRATIVE ASSISTANT,+6590367637,jt.ng@gmail.com,161,MARINE PARADE RD,10-15,987599
SOPHIA,GOMES,S7044220W,FEMALE,1970-12-29,SINGAPOREAN,EURASIAN,ACCOUNTANT,+6599428414,sophia.gomes@outlook.com,720,BOON LAY WAY,23-29,797860
CLARA,SANTOS,G9555215O,FEMALE,1995-11-10,FILIPINO,FILIPINO,DELIVERY DRIVER,+6593706007,clara.santos@yahoo.com.sg,664,MARINE PARADE RD,07-64,247475
TING TING,LIM,S4617932O,FEMALE,1946-07-17,SINGAPOREAN,CHINESE,DRIVER,+6597352113,tt.lim@outlook.com,760,SERANGOON RD,11-53,617033
RAHUL,NAIR,S4799706U,MALE,1947-06-25,SINGAPOREAN,INDIAN,CALL CENTER AGENT,+6592853891,rahul.nair@hotmail.com,919,GEYLANG RD,11-94,178645
ARJUN,NAIR,S9106987E,MALE,1991-07-29,SINGAPOREAN,INDIAN,FREELANCER,+6599296463,arjun.nair@gmail.com,749,ADMIRALTY DR,35-34,792687
LI XIN,LEE,S9118625M,MALE,1991-03-29,SINGAPOREAN,CHINESE,BUSINESS OWNER,+6594895783,lx.lee@hotmail.com,93,WOODLANDS DR,08-40,923002
XIN MIN,LEE,S6393806Q,MALE,1963-02-01,SINGAPOREAN,CHINESE,DELIVERY DRIVER,+6592535551,xinmin_lee@outlook.com,780,JALAN BESAR,07-11,800596
FATIMAH,BINTE RAHMAN,S6772233E,FEMALE,1967-07-22,SINGAPOREAN,MALAY,ELECTRICIAN,+6590582647,fatimah.binterahman@gmail.com,524,MARINE PARADE RD,34-74,810446
JIA YAN,NG,S5309986D,FEMALE,1953-06-13,SINGAPOREAN,CHINESE,DATA ANALYST,+6591124274,jy.ng@outlook.com,99,GEYLANG RD,36-51,678870
JIA JIA,LIM,S6262996B,FEMALE,1962-06-26,SINGAPOREAN,CHINESE,NURSE,+6596893590,jiajia.lim@hotmail.com,280,GEYLANG RD,32-74,738543
PRIYA,RAO,S7332475I,FEMALE,1973-07-10,SINGAPOREAN,INDIAN,LAWYER,+6590339451,priya_rao@gmail.com,355,TIONG BAHRU RD,20-40,393964
XIN HAO,CHUA,G6189023G,MALE,1961-07-11,MALAYSIAN,CHINESE,CUSTOMER SUPPORT SPECIALIST,+6590942977,xh.chua@yahoo.com.sg,537,CHINATOWN POINT,11-09,426236
MOHAMMAD,BINTE RAHMAN,G9927985L,MALE,1999-09-16,MALAYSIAN,MALAY,GRAPHIC DESIGNER,+6596659586,m.binterahman@outlook.com,660,ADMIRALTY DR,08-88,132047
MEENA,SINGH,S9768007E,FEMALE,1997-01-26,SINGAPOREAN,INDIAN,RETAIL ASSISTANT,+6592733132,meena.singh@hotmail.com,884,MARINE PARADE RD,14-29,778827
MOHAMMAD,BIN ISMAIL,S5391085R,MALE,1953-08-05,SINGAPOREAN,MALAY,NURSE,+6596316209,mohammad_binismail@outlook.com,882,ORCHARD RD,30-33,328808
AHMAD,BINTE ZAINAL,S9332830Z,MALE,1993-11-24,SINGAPOREAN,MALAY,ADMINISTRATIVE OFFICER,+6595454894,ahmad_bintezainal@hotmail.com,892,SENGKANG EAST WAY,17-84,845635
RAHUL,RAO,G8553875Q,MALE,1985-12-02,INDIAN,INDIAN,RETIRED,+6598344531,rahul_rao@yahoo.com.sg,312,SENGKANG EAST WAY,27-52,507135
YAN JIA,WONG,S8934655I,FEMALE,1989-05-13,SINGAPOREAN,CHINESE,MARKETING COORDINATOR,+6599378994,yanjia.wong@hotmail.com,791,ADMIRALTY DR,12-88,451936
WEI LI,LIM,S7135697E,MALE,1971-09-14,SINGAPOREAN,CHINESE,OFFICE CLERK,+6592010177,weili.lim@yahoo.com.sg,898,BALESTIER RD,25-68,412848
ANITA,NAIR,S7071296U,FEMALE,1970-06-10,SINGAPOREAN,INDIAN,CONSTRUCTION WORKER,+6590973306,anita_nair@yahoo.com.sg,14,TOA PAYOH LOR,18-27,898169
WEI WEI,LEE,S4542168S,MALE,1945-06-14,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,+6598909268,weiwei_lee@hotmail.com,205,ANG MO KIO AVE,01-81,869238
MIN XIN,GOH,S6923098F,MALE,1969-06-25,SINGAPOREAN,CHINESE,BUSINESS OWNER,+6598223833,minxin.goh@yahoo.com.sg,377,UPPER BUKIT TIMAH RD,13-22,951452
ANITA,RAO,T0267618I,FEMALE,2002-11-16,SINGAPOREAN,INDIAN,SOFTWARE ENGINEER,+6590815153,anita_rao@gmail.com,618,BEDOK NORTH RD,07-84,976735
YAN JIA,WONG,S6841173T,FEMALE,1968-12-05,SINGAPOREAN,CHINESE,OFFICE CLERK,+6598729340,yanjia.wong@gmail.com,286,EUNOS CRESCENT,39-90,243826
HAO MIN,CHUA,S8619721Y,MALE,1986-10-08,SINGAPOREAN,CHINESE,SOFTWARE ENGINEER,+6598327450,haomin_chua@gmail.com,942,JURONG WEST ST,31-43,345896
RAHUL,RAO,S9461100E,MALE,1994-05-16,SINGAPOREAN,INDIAN,FREELANCER,+6597789281,rahul_rao@hotmail.com,61,CHOA CHU KANG LOOP,12-06,993647
XIN LI,WONG,S4762120F,MALE,1947-07-10,SINGAPOREAN,CHINESE,CUSTOMER SERVICE OFFICER,+6595749933,xl.wong@outlook.com,197,CHOA CHU KANG LOOP,26-52,578715
MICHAEL,DE SOUZA,S7601450W,MALE,1976-11-09,SINGAPOREAN,EURASIAN,SALES MANAGER,+6590483456,m.desouza@outlook.com,893,BALESTIER RD,09-62,611833
MEENA,MENON,G0662890A,FEMALE,2006-06-23,INDIAN,INDIAN,RETIRED,+6598709047,m.menon@hotmail.com,545,JALAN BESAR,07-56,793856
TING JIA,LIM,S5517797C,FEMALE,1955-05-04,SINGAPOREAN,CHINESE,MARKETING COORDINATOR,+6595551494,tj.lim@yahoo.com.sg,294,BEDOK NORTH RD,33-29,677236
SANJAY,RAO,G6888375L,MALE,1968-07-25,INDIAN,INDIAN,MARKETING EXECUTIVE,+6596917892,sanjay_rao@hotmail.com,46,BISHAN ST,36-01,966028
ANITA,MENON,G6454885W,FEMALE,1964-08-30,MALAYSIAN,INDIAN,LOGISTICS COORDINATOR,+6596095071,anita.menon@hotmail.com,743,TOA PAYOH LOR,08-13,896204
SANJAY,SINGH,S9116091Y,MALE,1991-04-07,SINGAPOREAN,INDIAN,CLEANER,+6592025778,sanjay.singh@hotmail.com,962,KALLANG BAHRU,26-28,579247
MEENA,KUMAR,G4521699K,FEMALE,1945-09-29,INDIAN,INDIAN,SHOP ASSISTANT,+6590814896,meena.kumar@yahoo.com.sg,576,ADMIRALTY DR,28-75,606390
YAN JIA,WONG,S7585833G,FEMALE,1975-05-31,SINGAPOREAN,CHINESE,CUSTOMER SUPPORT SPECIALIST,+6597597490,yanjia_wong@hotmail.com,834,CLEMENTI AVE,09-53,731792
HAO HAO,GOH,S5660810M,MALE,1956-10-14,SINGAPOREAN,CHINESE,DRIVER,+6598059269,haohao_goh@hotmail.com,606,MARINE PARADE RD,27-87,884197
AHMAD,BIN ISMAIL,S6986384W,MALE,1969-02-01,SINGAPOREAN,MALAY,CLEANER,+6594951637,ahmad.binismail@yahoo.com.sg,218,UPPER BUKIT TIMAH RD,35-05,476105
MICHAEL,PEREIRA,S9334721F,MALE,1993-04-14,SINGAPOREAN,EURASIAN,CALL CENTER AGENT,+6597433377,michael_pereira@yahoo.com.sg,859,PASIR RIS DR,24-97,716966
MOHAMMAD,RAHMAN,G9325909V,MALE,1993-03-08,BANGLADESHI,BANGLADESHI,NURSE,+6592699938,mohammad.rahman@gmail.com,608,KALLANG BAHRU,17-01,446620
PRIYA,RAO,S9253355L,FEMALE,1992-04-04,SINGAPOREAN,INDIAN,CALL CENTER AGENT,+6598734324,p.rao@gmail.com,79,CHINATOWN POINT,33-21,536135
SOPHIA,PEREIRA,S9664840Q,FEMALE,1996-08-16,SINGAPOREAN,EURASIAN,DRIVER,+6594032368,s.pereira@gmail.com,936,QUEENSTOWN RD,16-06,815706
TING TING,TAN,G0533613R,FEMALE,2005-04-09,MALAYSIAN,CHINESE,ADMINISTRATIVE ASSISTANT,+6595373956,tingting.tan@gmail.com,536,BUKIT BATOK ST,07-22,910883
ANITA,RAO,G4781934N,FEMALE,1947-12-18,MALAYSIAN,INDIAN,STUDENT,+6592579573,anita.rao@hotmail.com,34,TOA PAYOH LOR,22-05,191772
AHMAD,BINTE ZAINAL,S8244914Y,MALE,1982-01-04,SINGAPOREAN,MALAY,LAWYER,+6591060950,a.bintezainal@gmail.com,784,COMMONWEALTH AVE,38-06,834928
MARIA,GARCIA,G9208821B,FEMALE,1992-03-10,FILIPINO,FILIPINO,TEACHER,+6596559766,maria_garcia@hotmail.com,825,CHINATOWN POINT,35-38,764845
NUR,BIN ISMAIL,S9631290Y,FEMALE,1996-04-18,SINGAPOREAN,MALAY,UNEMPLOYED,+6596923193,nur_binismail@hotmail.com,937,QUEENSTOWN RD,33-19,268772
JAMES,WILSON,G7314913K,MALE,1973-02-20,FILIPINO,OTHER,SALES MANAGER,+6593312117,james_wilson@yahoo.com.sg,753,MARINE PARADE RD,32-43,474486
YAN YAN,NG,S7645257O,FEMALE,1976-06-10,SINGAPOREAN,CHINESE,RETAIL ASSISTANT,+6597185805,yanyan_ng@outlook.com,182,ANG MO KIO AVE,21-32,923824
ARJUN,KUMAR,S6708099M,MALE,1967-05-24,SINGAPOREAN,INDIAN,DRIVER,+6592348838,arjun.kumar@gmail.com,922,BISHAN ST,13-34,869177
MOHAMMAD,BINTE ZAINAL,G6965803Z,MALE,1969-07-07,MALAYSIAN,MALAY,FREELANCER,+6596585029,m.bintezainal@gmail.com,238,BOON LAY WAY,38-94,998801
FATIMA,RAHMAN,G0314530V,FEMALE,2003-10-17,BANGLADESHI,BANGLADESHI,RETAIL ASSISTANT,+6592452813,f.rahman@yahoo.com.sg,763,COMMONWEALTH AVE,31-46,142383
MICHAEL,GOMES,S4698926U,MALE,1946-11-29,SINGAPOREAN,EURASIAN,CUSTOMER SERVICE OFFICER,+6595437011,michael_gomes@hotmail.com,115,JALAN BESAR,34-82,969948
NUR,BIN ISMAIL,S7282723C,FEMALE,1972-09-21,SINGAPOREAN,MALAY,NURSE,+6596808902,nur_binismail@gmail.com,371,TIONG BAHRU RD,23-63,931161
HAO MIN,LIM,S7803029S,MALE,1978-06-19,SINGAPOREAN,CHINESE,ACCOUNTANT,+6591901507,haomin_lim@outlook.com,503,BALESTIER RD,31-62,320939
HASSAN,BINTE RAHMAN,S9313797P,MALE,1993-04-03,SINGAPOREAN,MALAY,SOFTWARE ENGINEER,+6598667792,hassan_binterahman@hotmail.com,991,GEYLANG RD,39-73,768595
MEENA,KUMAR,S8162103Q,FEMALE,1981-05-16,SINGAPOREAN,INDIAN,ACCOUNTANT,+6592813903,meena.kumar@outlook.com,751,BALESTIER RD,22-59,725510
VIKRAM,MENON,G0098068N,MALE,2000-11-10,INDIAN,INDIAN,SALES MANAGER,+6590654924,v.menon@yahoo.com.sg,908,CHINATOWN POINT,35-65,888930
HAO XIN,CHUA,T0798643A,MALE,2007-10-22,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,+6591639417,haoxin.chua@hotmail.com,445,CLEMENTI AVE,17-62,903061
PRIYA,MENON,G0586959I,FEMALE,2005-04-16,MALAYSIAN,INDIAN,MARKETING COORDINATOR,+6595299951,p.menon@hotmail.com,428,ORCHARD RD,07-20,546768
HARRY,JOHNSON,G8237213Q,MALE,1982-09-05,AMERICAN,CAUCASIAN,RETIRED,+6594257682,harry_johnson@gmail.com,324,MARINE PARADE RD,23-91,517469
YAN YAN,TAN,T0551906M,FEMALE,2005-01-03,SINGAPOREAN,CHINESE,MARKETING EXECUTIVE,+6591528212,yy.tan@yahoo.com.sg,853,CLEMENTI AVE,31-77,556526
NUR,BINTE RAHMAN,S7992053U,FEMALE,1979-01-06,SINGAPOREAN,MALAY,SOFTWARE ENGINEER,+6593384085,nur_binterahman@yahoo.com.sg,880,BALESTIER RD,34-37,304206
TING TING,CHUA,S7154393O,FEMALE,1971-09-23,SINGAPOREAN,CHINESE,FREELANCER,+6590257807,tingting_chua@hotmail.com,764,JALAN BESAR,05-12,676289
JUAN,SANTOS,G8176973Y,MALE,1981-05-31,FILIPINO,FILIPINO,CLEANER,+6595703681,juan_santos@hotmail.com,979,CHOA CHU KANG LOOP,33-33,664032
MEENA,SINGH,S7358804H,FEMALE,1973-02-04,SINGAPOREAN,INDIAN,RETAIL ASSISTANT,+6596420191,m.singh@outlook.com,658,CHINATOWN POINT,15-87,835236
TING JIA,NG,S7643333T,FEMALE,1976-04-21,SINGAPOREAN,CHINESE,UNEMPLOYED,+6599625300,tingjia_ng@yahoo.com.sg,285,HOUGANG AVE,13-64,872918
ARJUN,RAO,S6079472Y,MALE,1960-11-10,SINGAPOREAN,INDIAN,NURSE,+6590111126,arjun_rao@hotmail.com,792,KALLANG BAHRU,35-06,989203
JOSE,SANTOS,G7887500V,MALE,1978-09-02,FILIPINO,FILIPINO,CONSTRUCTION WORKER,+6599072580,j.santos@gmail.com,43,PUNGGOL WAY,23-51,819678
HASSAN,BIN ISMAIL,S9355647F,MALE,1993-05-02,SINGAPOREAN,MALAY,RETAIL MANAGER,+6594519920,hassan.binismail@outlook.com,492,EUNOS CRESCENT,22-47,292847
EMMA,FERNANDEZ,S6228857J,FEMALE,1962-08-10,SINGAPOREAN,EURASIAN,SOFTWARE ENGINEER,+6596390162,e.fernandez@outlook.com,210,CLEMENTI AVE,10-61,944804
ARJUN,RAO,S9188450N,MALE,1991-05-11,SINGAPOREAN,INDIAN,DELIVERY DRIVER,+6597995004,a.rao@hotmail.com,869,QUEENSTOWN RD,07-58,880762
PRIYA,MENON,S8294722U,FEMALE,1982-03-31,SINGAPOREAN,INDIAN,RETIRED,+6594774942,priya.menon@outlook.com,373,YISHUN RING RD,33-63,912378
FATIMAH,BIN ABDULLAH,G9575987N,FEMALE,1995-04-27,MALAYSIAN,MALAY,ACCOUNTANT,+6595259356,f.binabdullah@hotmail.com,334,QUEENSTOWN RD,19-91,380465
VIKRAM,RAO,T0706811I,MALE,2007-02-10,SINGAPOREAN,INDIAN,SHOP ASSISTANT,+6593532803,v.rao@gmail.com,180,GEYLANG RD,07-13,166891
TING TING,LEE,S9478487E,FEMALE,1994-08-15,SINGAPOREAN,CHINESE,LOGISTICS COORDINATOR,+6592120836,tt.lee@outlook.com,144,PUNGGOL WAY,11-04,136862
RAHIM,RAHMAN,G8374564E,MALE,1983-08-11,BANGLADESHI,BANGLADESHI,NURSE,+6598782198,rahim.rahman@gmail.com,665,QUEENSTOWN RD,35-40,464032
JIA TING,WONG,S6508536R,FEMALE,1965-12-19,SINGAPOREAN,CHINESE,CONSTRUCTION WORKER,+6598253243,jt.wong@yahoo.com.sg,979,UPPER BUKIT TIMAH RD,31-39,109576
YAN TING,CHUA,S8731224D,FEMALE,1987-08-05,SINGAPOREAN,CHINESE,RETIRED,+6594019180,yt.chua@outlook.com,539,UPPER BUKIT TIMAH RD,18-37,779956
HASSAN,BINTE ZAINAL,S8503120P,MALE,1985-03-19,SINGAPOREAN,MALAY,CUSTOMER SERVICE OFFICER,+6590832687,hassan_bintezainal@outlook.com,557,ANG MO KIO AVE,12-14,395818
TING TING,CHAN,S6623460D,FEMALE,1966-06-19,SINGAPOREAN,CHINESE,CONSTRUCTION WORKER,+6591345920,tingting.chan@outlook.com,873,UPPER BUKIT TIMAH RD,10-08,379449
ABDUL,AHMED,G4645208Q,MALE,1946-04-12,BANGLADESHI,BANGLADESHI,ELECTRICIAN,+6597731522,a.ahmed@outlook.com,762,UPPER BUKIT TIMAH RD,07-67,798359
MOHAMMAD,BIN ABDULLAH,S5163009Z,MALE,1951-02-27,SINGAPOREAN,MALAY,FACTORY WORKER,+6593958849,mohammad_binabdullah@gmail.com,658,SERANGOON RD,21-02,275490
AHMAD,BINTE RAHMAN,S8727358Z,MALE,1987-12-18,SINGAPOREAN,MALAY,MARKETING COORDINATOR,+6595677780,ahmad_binterahman@gmail.com,963,UPPER BUKIT TIMAH RD,04-08,472787
YAN JIA,TAN,S7639285K,FEMALE,1976-03-09,SINGAPOREAN,CHINESE,CALL CENTER AGENT,+6594205984,yanjia_tan@outlook.com,930,BEDOK NORTH RD,32-91,558752
SITI,BIN ABDULLAH,G7909593K,FEMALE,1979-06-01,MALAYSIAN,MALAY,MARKETING COORDINATOR,+6594418267,s.binabdullah@yahoo.com.sg,564,ORCHARD RD,30-01,913608
TING JIA,CHAN,G4922031P,FEMALE,1949-11-10,MALAYSIAN,CHINESE,ADMINISTRATIVE ASSISTANT,+6594750117,tingjia.chan@gmail.com,340,SERANGOON RD,21-15,200932
TING YAN,CHAN,S8317058X,FEMALE,1983-05-12,SINGAPOREAN,CHINESE,SOFTWARE ENGINEER,+6590823520,tingyan.chan@outlook.com,385,PASIR RIS DR,39-92,174316
JOSE,CRUZ,G6733839U,MALE,1967-06-05,FILIPINO,FILIPINO,RETIRED,+6591307538,jose_cruz@outlook.com,977,JURONG WEST ST,34-13,206142
CLARA,SANTOS,G6385289O,FEMALE,1963-07-03,FILIPINO,FILIPINO,FACTORY WORKER,+6597696054,clara_santos@outlook.com,729,BALESTIER RD,28-14,274912
SOPHIA,WILSON,G7857760X,FEMALE,1978-06-15,FILIPINO,OTHER,CALL CENTER AGENT,+6594038654,sophia_wilson@hotmail.com,586,BISHAN ST,14-49,902903
HAO MIN,TAN,S9210752E,MALE,1992-04-19,SINGAPOREAN,CHINESE,CALL CENTER AGENT,+6595283223,haomin_tan@yahoo.com.sg,32,UPPER BUKIT TIMAH RD,18-71,636107
RAHUL,NAIR,S9794096C,MALE,1997-10-19,SINGAPOREAN,INDIAN,NURSE,+6593647992,rahul_nair@gmail.com,761,BUKIT BATOK ST,21-62,281301
MICHAEL,DAVIS,G4858320V,MALE,1948-04-26,MALAYSIAN,OTHER,ADMINISTRATIVE ASSISTANT,+6590191837,m.davis@yahoo.com.sg,659,UPPER BUKIT TIMAH RD,25-07,419588
LI LI,LIM,G9441686Y,MALE,1994-07-21,MALAYSIAN,CHINESE,RETIRED,+6592483236,lili_lim@outlook.com,145,YISHUN RING RD,06-61,699198
VIKRAM,PILLAI,S8391166L,MALE,1983-04-11,SINGAPOREAN,INDIAN,STUDENT,+6599414830,v.pillai@hotmail.com,640,COMMONWEALTH AVE,34-32,354085
JIA TING,NG,S6410392J,FEMALE,1964-08-14,SINGAPOREAN,CHINESE,BANK TELLER,+6592446428,jiating_ng@gmail.com,461,BEDOK NORTH RD,15-26,818651
MOHAMMAD,BINTE ZAINAL,S9106980I,MALE,1991-10-03,SINGAPOREAN,MALAY,CALL CENTER AGENT,+6593554677,mohammad_bintezainal@yahoo.com.sg,218,BISHAN ST,34-97,371222
YAN TING,TAN,S6536815P,FEMALE,1965-02-04,SINGAPOREAN,CHINESE,FREELANCER,+6596520383,yanting_tan@outlook.com,686,SENGKANG EAST WAY,24-14,120005
SANJAY,MENON,G4555543Q,MALE,1945-01-21,INDIAN,INDIAN,BUSINESS OWNER,+6594150551,sanjay.menon@gmail.com,954,PUNGGOL WAY,20-43,613731
XIN WEI,WONG,S9563926J,MALE,1995-07-21,SINGAPOREAN,CHINESE,SECURITY GUARD,+6592302852,xinwei_wong@yahoo.com.sg,99,COMMONWEALTH AVE,25-67,810929
MARIA,REYES,G7151881F,FEMALE,1971-03-12,FILIPINO,FILIPINO,ELECTRICIAN,+6595184132,maria.reyes@yahoo.com.sg,715,JALAN BESAR,34-18,550955
ANITA,PILLAI,S5499939H,FEMALE,1954-08-15,SINGAPOREAN,INDIAN,UNEMPLOYED,+6594593537,anita_pillai@hotmail.com,165,UPPER BUKIT TIMAH RD,13-14,237935
XIN HAO,CHAN,S5646333C,MALE,1956-04-04,SINGAPOREAN,CHINESE,RETAIL ASSISTANT,+6596500504,xh.chan@gmail.com,513,WOODLANDS DR,09-21,302647
MICHAEL,FERNANDEZ,S5299988U,MALE,1952-08-06,SINGAPOREAN,EURASIAN,BANK TELLER,+6596792537,m.fernandez@outlook.com,804,BEDOK NORTH RD,39-95,964371
SANJAY,PILLAI,G4634764Y,MALE,1946-05-06,INDIAN,INDIAN,RETAIL MANAGER,+6598702386,sanjay_pillai@gmail.com,560,GEYLANG RD,03-72,506216
LI WEI,NG,G7970279W,MALE,1979-02-16,MALAYSIAN,CHINESE,TEACHER,+6598399643,lw.ng@hotmail.com,125,HOUGANG AVE,38-90,672949
RAHUL,RAO,G7089268M,MALE,1970-03-05,INDIAN,INDIAN,MARKETING EXECUTIVE,+6591529935,rahul_rao@outlook.com,126,JALAN BESAR,29-82,480573
HAO HAO,NG,T0709407P,MALE,2007-01-27,SINGAPOREAN,CHINESE,UNEMPLOYED,+6597039412,haohao.ng@yahoo.com.sg,325,TAMPINES ST,29-37,756883
SANJAY,KUMAR,G0698302E,MALE,2006-09-01,INDIAN,INDIAN,SOFTWARE ENGINEER,+6597612468,sanjay_kumar@hotmail.com,429,TOA PAYOH LOR,06-77,729252
WEI LI,WONG,S8779501Y,MALE,1987-01-26,SINGAPOREAN,CHINESE,SECURITY GUARD,+6591826831,weili_wong@yahoo.com.sg,436,HOUGANG AVE,11-87,398194
WEI XIN,LIM,S8919817X,MALE,1989-03-04,SINGAPOREAN,CHINESE,FREELANCE WRITER,+6594603979,weixin_lim@gmail.com,347,PUNGGOL WAY,27-68,320038
SOPHIA,GOMES,S7572934G,FEMALE,1975-05-13,SINGAPOREAN,EURASIAN,SOFTWARE DEVELOPER,+6598814602,sophia_gomes@outlook.com,598,EUNOS CRESCENT,23-17,744129
JIA YAN,LEE,S5841448R,FEMALE,1958-07-31,SINGAPOREAN,CHINESE,SOFTWARE ENGINEER,+6590763232,jiayan.lee@hotmail.com,351,ORCHARD RD,36-82,322652
TING TING,TAN,S5127857Z,FEMALE,1951-06-19,SINGAPOREAN,CHINESE,STUDENT,+6595669639,tingting.tan@outlook.com,954,BALESTIER RD,31-61,935981
MICHAEL,WILSON,G6568299M,MALE,1965-04-17,MALAYSIAN,OTHER,FREELANCER,+6599687124,michael.wilson@hotmail.com,711,YISHUN RING RD,23-09,256557
TING YAN,GOH,S5384215Z,FEMALE,1953-07-31,SINGAPOREAN,CHINESE,CLEANER,+6591456225,ty.goh@yahoo.com.sg,518,BOON LAY WAY,16-48,573858
LI WEI,CHAN,S4930768D,MALE,1949-04-08,SINGAPOREAN,CHINESE,DATA ANALYST,+6595706197,liwei.chan@yahoo.com.sg,955,WOODLANDS DR,34-40,913205
EMMA,FERNANDEZ,S6653344R,FEMALE,1966-02-22,SINGAPOREAN,EURASIAN,CONSTRUCTION WORKER,+6598733844,emma_fernandez@yahoo.com.sg,794,BALESTIER RD,20-03,705615
HAO HAO,WONG,T0493214T,MALE,2004-10-13,SINGAPOREAN,CHINESE,DATA ANALYST,+6598624506,haohao.wong@hotmail.com,114,JURONG WEST ST,35-45,676051
ARJUN,PILLAI,G4695453W,MALE,1946-02-24,INDIAN,INDIAN,CUSTOMER SUPPORT SPECIALIST,+6596435734,arjun_pillai@outlook.com,65,BUKIT BATOK ST,28-51,287677
SANJAY,MENON,G0756255O,MALE,2007-08-28,MALAYSIAN,INDIAN,ADMINISTRATIVE OFFICER,+6591631802,sanjay.menon@hotmail.com,476,TAMPINES ST,30-61,342948
XIN XIN,NG,S9681487M,MALE,1996-11-05,SINGAPOREAN,CHINESE,RETIRED,+6599641501,xinxin.ng@hotmail.com,140,PUNGGOL WAY,07-52,957266
HAO XIN,CHUA,S9121971S,MALE,1991-12-22,SINGAPOREAN,CHINESE,DELIVERY DRIVER,+6599914834,haoxin_chua@yahoo.com.sg,451,CHINATOWN POINT,28-73,925571
XIN HAO,WONG,S4713290Y,MALE,1947-11-03,SINGAPOREAN,CHINESE,BANK TELLER,+6591824432,xh.wong@gmail.com,711,TIONG BAHRU RD,39-99,959691
TING YAN,CHAN,T0690986E,FEMALE,2006-06-12,SINGAPOREAN,CHINESE,ELECTRICIAN,+6595028724,ty.chan@gmail.com,593,CHINATOWN POINT,20-56,852658
PRIYA,SINGH,G5666668G,FEMALE,1956-02-26,INDIAN,INDIAN,ACCOUNTANT,+6594734685,priya_singh@hotmail.com,896,ANG MO KIO AVE,16-56,836333
MOHAMMAD,BIN ISMAIL,S4921267Z,MALE,1949-05-28,SINGAPOREAN,MALAY,TEACHER,+6592106365,m.binismail@outlook.com,147,ANG MO KIO AVE,05-83,116470
SOPHIA,GOMES,S7984689L,FEMALE,1979-07-16,SINGAPOREAN,EURASIAN,SOFTWARE DEVELOPER,+6595961066,sophia_gomes@yahoo.com.sg,241,HOUGANG AVE,28-78,107790
MIN WEI,CHAN,S4737189J,MALE,1947-03-14,SINGAPOREAN,CHINESE,MARKETING EXECUTIVE,+6598831661,minwei_chan@gmail.com,889,UPPER BUKIT TIMAH RD,18-60,642060
