vic_first_name,vic_last_name,vic_nric,vic_sex,vic_dob,vic_nationality,vic_race,vic_occupation,vic_contact_no,vic_email,vic_blk,vic_street,vic_unit_no,vic_postal_code,scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
VIKRAM,NAIR,S8392407L,MALE,1983-08-14,SINGAPOREAN,INDIAN,ADMINISTRATIVE ASSISTANT,+6597745704,vikram.nair@yahoo.com.sg,797,TAMPINES ST,#25-65,653081,G/20250225/7748,2025-02-15,2025-02-25,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,CITIBANK,10556613,NA,NA,kdickson,https://www.deals4u-1187.shop/durians,1072.29,"I saw an ad for discounted food items on Facebook posted by 'kdickson'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-1187.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a CITIBANK. The transaction is as follows:
A transaction of $1072.29 was made to CITIBANK account 10556613 on 2025-02-15.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
ARJUN,SINGH,G0331739W,MALE,2003-12-10,INDIAN,INDIAN,CUSTOMER SUPPORT SPECIALIST,+6599375955,arjun.singh@yahoo.com.sg,232,WOODLANDS DR,#14-43,417915,F/20250529/2791,2025-05-20,2025-05-29,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,DBS,42241098,NA,NA,jonathanbradshaw,https://www.deals4u-9422.shop/durians,1036.57,"I saw an ad for discounted food items on Facebook posted by 'jonathanbradshaw'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9422.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a DBS. The transaction is as follows:
A transaction of $1036.57 was made to DBS account 42241098 on 2025-05-20.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
VIKRAM,SINGH,G6802838K,MALE,1968-04-07,MALAYSIAN,INDIAN,ACCOUNTANT,+6590317716,v.singh@outlook.com,461,YISHUN RING RD,#27-20,533020,F/20250216/7903,2025-01-28,2025-02-16,PHISHING,SMS,SMS,BANK TRANSFER,DBS,45211175,+6598584338,NA,NA,https://secure-dbs-login.com/verify,1520.61,"I received an SMS from +6598584338 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $1520.61 was made to DBS account 45211175 on 2025-01-28.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
TING JIA,LEE,T0747859M,FEMALE,2007-02-02,SINGAPOREAN,CHINESE,NURSE,+6599686290,tj.lee@gmail.com,114,CHINATOWN POINT,#35-24,483561,F/20250314/7674,2025-03-08,2025-03-14,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,BOC,24372805,NA,NA,theresamcneil,https://www.deals4u-2382.shop/durians,1114.82,"I saw an ad for discounted food items on Facebook posted by 'theresamcneil'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-2382.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a BOC. The transaction is as follows:
A transaction of $1114.82 was made to BOC account 24372805 on 2025-03-08.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
RAHUL,MENON,S5304157U,MALE,1953-05-28,SINGAPOREAN,INDIAN,MARKETING COORDINATOR,+6592044708,rahul.menon@hotmail.com,597,BALESTIER RD,#35-49,513697,D/20250704/7983,2025-06-05,2025-07-04,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,94077780,NA,NA,morenocrystal,https://www.deals4u-9084.shop/durians,1305.54,"I saw an ad for discounted food items on Facebook posted by 'morenocrystal'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9084.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a UOB. The transaction is as follows:
A transaction of $1305.54 was made to UOB account 94077780 on 2025-06-05.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
MOHAMMAD,BINTE RAHMAN,S5452866T,MALE,1954-11-11,SINGAPOREAN,MALAY,IT SUPPORT,+6599901382,mohammad.binterahman@yahoo.com.sg,96,BALESTIER RD,#09-41,223586,F/20250615/7857,2025-05-19,2025-06-15,PHISHING,SMS,SMS,BANK TRANSFER,CITIBANK,63723950,+6590881193,NA,NA,https://secure-dbs-login.com/verify,1296.73,"I received an SMS from +6590881193 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a CITIBANK. 
The transaction is as follows:
A transaction of $1296.73 was made to CITIBANK account 63723950 on 2025-05-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
MICHAEL,DAVIS,G5290331D,MALE,1952-08-23,MALAYSIAN,OTHER,STUDENT,+6595807596,michael_davis@outlook.com,168,SENGKANG EAST WAY,#13-93,902674,G/20250518/2641,2025-05-07,2025-05-18,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,99629145,+6596943579,NA,NA,https://secure-dbs-login.com/verify,1530.9,"I received an SMS from +6596943579 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $1530.90 was made to HSBC account 99629145 on 2025-05-07.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
PRIYA,RAO,G8984577K,FEMALE,1989-10-23,INDIAN,INDIAN,SOFTWARE DEVELOPER,+6594508325,priya.rao@outlook.com,652,SERANGOON RD,#25-58,179184,A/20250129/7917,2025-01-07,2025-01-29,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,HSBC,44717465,NA,NA,oarroyo,https://www.deals4u-5216.shop/durians,715.27,"I saw an ad for discounted food items on Facebook posted by 'oarroyo'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-5216.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a HSBC. The transaction is as follows:
A transaction of $715.27 was made to HSBC account 44717465 on 2025-01-07.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
HASSAN,BINTE RAHMAN,G0493564Z,MALE,2004-12-21,MALAYSIAN,MALAY,NURSE,+6593369728,hassan_binterahman@outlook.com,500,YISHUN RING RD,#12-51,434640,F/20250406/7738,2025-04-05,2025-04-06,PHISHING,SMS,SMS,BANK TRANSFER,CITIBANK,21267969,+6598546564,NA,NA,https://secure-dbs-login.com/verify,496.74,"I received an SMS from +6598546564 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CITIBANK. 
The transaction is as follows:
A transaction of $496.74 was made to CITIBANK account 21267969 on 2025-04-05.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
XIN XIN,GOH,S6889025A,MALE,1968-09-27,SINGAPOREAN,CHINESE,OFFICE CLERK,+6590713900,xinxin.goh@hotmail.com,245,JURONG WEST ST,#37-61,384263,F/20250222/7997,2025-02-04,2025-02-22,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,CITIBANK,15396695,NA,NA,ohughes,https://www.deals4u-9921.shop/durians,2145.96,"I saw an ad for discounted food items on Facebook posted by 'ohughes'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9921.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a CITIBANK. The transaction is as follows:
A transaction of $2145.96 was made to CITIBANK account 15396695 on 2025-02-04.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
TING TING,TAN,S9614593H,FEMALE,1996-12-20,SINGAPOREAN,CHINESE,STUDENT,+6593964499,tingting_tan@hotmail.com,73,BALESTIER RD,#08-60,421709,J/20250427/7495,2025-04-10,2025-04-27,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,46954899,+6599439437,NA,NA,https://secure-dbs-login.com/verify,855.81,"I received an SMS from +6599439437 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $855.81 was made to TRUST account 46954899 on 2025-04-10.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
MOHAMMAD,BINTE RAHMAN,T0348652V,MALE,2003-12-06,SINGAPOREAN,MALAY,SOFTWARE DEVELOPER,+6592372774,mohammad.binterahman@gmail.com,948,ORCHARD RD,#20-84,832409,F/20250328/2984,2025-03-19,2025-03-28,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,60049082,+6595038767,NA,NA,https://secure-dbs-login.com/verify,256.22,"I received an SMS from +6595038767 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $256.22 was made to CIMB account 60049082 on 2025-03-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
AISYAH,BINTE ZAINAL,S8856798E,FEMALE,1988-05-12,SINGAPOREAN,MALAY,ACCOUNTANT,+6593724560,aisyah.bintezainal@outlook.com,532,COMMONWEALTH AVE,#34-72,708717,F/20250323/7251,2025-03-03,2025-03-23,PHISHING,SMS,SMS,BANK TRANSFER,DBS,89490580,+6598601059,NA,NA,https://secure-dbs-login.com/verify,947.26,"I received an SMS from +6598601059 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $947.26 was made to DBS account 89490580 on 2025-03-03.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
NUR,BIN ABDULLAH,G7192127O,FEMALE,1971-06-28,MALAYSIAN,MALAY,STUDENT,+6595890476,nur.binabdullah@yahoo.com.sg,754,TIONG BAHRU RD,#10-31,207798,J/20250516/7479,2025-04-16,2025-05-16,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,58650948,NA,NA,gene20,https://www.deals4u-1666.shop/durians,1892.47,"I saw an ad for discounted food items on Facebook posted by 'gene20'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-1666.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a UOB. The transaction is as follows:
A transaction of $1892.47 was made to UOB account 58650948 on 2025-04-16.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
WILLIAM,SMITH,G8366246F,MALE,1983-03-31,AMERICAN,CAUCASIAN,ACCOUNTANT,+6597167236,william_smith@hotmail.com,579,WOODLANDS DR,#04-45,774565,G/20250325/2750,2025-03-14,2025-03-25,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,MAYBANK,52182307,NA,NA,tpham,https://www.deals4u-7350.shop/durians,1501.85,"I saw an ad for discounted food items on Facebook posted by 'tpham'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-7350.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a MAYBANK. The transaction is as follows:
A transaction of $1501.85 was made to MAYBANK account 52182307 on 2025-03-14.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
MICHAEL,TAYLOR,G5584344W,MALE,1955-10-07,BRITISH,CAUCASIAN,IT SUPPORT,+6595943949,michael.taylor@hotmail.com,702,UPPER BUKIT TIMAH RD,#17-79,607699,D/20250216/2044,2025-01-29,2025-02-16,PHISHING,SMS,SMS,BANK TRANSFER,BOC,92222064,+6594844933,NA,NA,https://secure-dbs-login.com/verify,562.38,"I received an SMS from +6594844933 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $562.38 was made to BOC account 92222064 on 2025-01-29.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
YAN YAN,NG,S8267243I,FEMALE,1982-01-14,SINGAPOREAN,CHINESE,NURSE,+6597744735,yanyan_ng@gmail.com,975,JALAN BESAR,#14-57,936433,D/20250521/2363,2025-05-06,2025-05-21,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,HSBC,69097384,NA,NA,deanna23,https://www.deals4u-7731.shop/durians,246.1,"I saw an ad for discounted food items on Facebook posted by 'deanna23'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-7731.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a HSBC. The transaction is as follows:
A transaction of $246.10 was made to HSBC account 69097384 on 2025-05-06.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
PRIYA,MENON,S7007286O,FEMALE,1970-06-17,SINGAPOREAN,INDIAN,CALL CENTER AGENT,+6598729882,priya_menon@outlook.com,462,CHOA CHU KANG LOOP,#14-92,711474,G/20250510/2358,2025-05-08,2025-05-10,PHISHING,SMS,SMS,BANK TRANSFER,SCB,03441448,+6591909863,NA,NA,https://secure-dbs-login.com/verify,2555.75,"I received an SMS from +6591909863 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $2555.75 was made to SCB account 03441448 on 2025-05-08.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
TING TING,CHUA,S9716668P,FEMALE,1997-08-24,SINGAPOREAN,CHINESE,MARKETING COORDINATOR,+6599479163,tingting.chua@gmail.com,259,JALAN BESAR,#15-39,817269,A/20250616/7520,2025-05-27,2025-06-16,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,CITIBANK,15814876,NA,NA,joshuaedwards,https://www.deals4u-7773.shop/durians,2922.73,"I saw an ad for discounted food items on Facebook posted by 'joshuaedwards'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-7773.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a CITIBANK. The transaction is as follows:
A transaction of $2922.73 was made to CITIBANK account 15814876 on 2025-05-27.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
XIN WEI,GOH,S9867065I,MALE,1998-04-06,SINGAPOREAN,CHINESE,CALL CENTER AGENT,+6591436363,xinwei_goh@gmail.com,546,ORCHARD RD,#05-68,670511,J/20250428/2331,2025-04-19,2025-04-28,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,TRUST,11665535,NA,NA,brian74,https://www.deals4u-6644.shop/durians,306.16,"I saw an ad for discounted food items on Facebook posted by 'brian74'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-6644.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a TRUST. The transaction is as follows:
A transaction of $306.16 was made to TRUST account 11665535 on 2025-04-19.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
HAO WEI,GOH,S8322753A,MALE,1983-12-12,SINGAPOREAN,CHINESE,NURSE,+6593240708,hw.goh@gmail.com,189,EUNOS CRESCENT,#26-55,640310,J/20250208/7124,2025-01-23,2025-02-08,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,MAYBANK,58683390,NA,NA,james71,https://www.deals4u-2790.shop/durians,1155.62,"I saw an ad for discounted food items on Facebook posted by 'james71'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-2790.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a MAYBANK. The transaction is as follows:
A transaction of $1155.62 was made to MAYBANK account 58683390 on 2025-01-23.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
AYESHA,HOSSAIN,G0318501N,FEMALE,2003-05-04,BANGLADESHI,BANGLADESHI,RETAIL MANAGER,+6599507579,ayesha_hossain@yahoo.com.sg,864,KALLANG BAHRU,#25-87,666820,J/20250610/7757,2025-05-19,2025-06-10,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,71997581,+6595167981,NA,NA,https://secure-dbs-login.com/verify,1599.03,"I received an SMS from +6595167981 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $1599.03 was made to TRUST account 71997581 on 2025-05-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
ARJUN,RAO,S5161379C,MALE,1951-09-23,SINGAPOREAN,INDIAN,OFFICE CLERK,+6598548370,arjun.rao@outlook.com,203,COMMONWEALTH AVE,#26-38,777558,J/20250423/2086,2025-04-11,2025-04-23,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,32030937,+6599068958,NA,NA,https://secure-dbs-login.com/verify,636.59,"I received an SMS from +6599068958 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $636.59 was made to CIMB account 32030937 on 2025-04-11.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
PRIYA,MENON,G7797820O,FEMALE,1977-08-25,INDIAN,INDIAN,TEACHER,+6599736311,priya.menon@hotmail.com,577,CHINATOWN POINT,#03-58,949153,J/20250423/7784,2025-03-30,2025-04-23,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,57612286,+6598957363,NA,NA,https://secure-dbs-login.com/verify,1956.94,"I received an SMS from +6598957363 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $1956.94 was made to TRUST account 57612286 on 2025-03-30.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
SOPHIA,GOMES,S7653556B,FEMALE,1976-06-06,SINGAPOREAN,EURASIAN,MARKETING COORDINATOR,+6594388275,sophia_gomes@outlook.com,378,PUNGGOL WAY,#32-60,203398,D/20250618/2277,2025-06-06,2025-06-18,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,93214958,+6592182279,NA,NA,https://secure-dbs-login.com/verify,383.1,"I received an SMS from +6592182279 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $383.10 was made to MAYBANK account 93214958 on 2025-06-06.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
YAN TING,CHAN,T0286211Q,FEMALE,2002-10-10,SINGAPOREAN,CHINESE,CALL CENTER AGENT,+6596901115,yt.chan@gmail.com,22,ANG MO KIO AVE,#34-93,388086,J/20250416/2187,2025-04-04,2025-04-16,PHISHING,SMS,SMS,BANK TRANSFER,BOC,57701715,+6592865574,NA,NA,https://secure-dbs-login.com/verify,2944.52,"I received an SMS from +6592865574 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $2944.52 was made to BOC account 57701715 on 2025-04-04.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
JAMES,GOMES,S7651154J,MALE,1976-09-22,SINGAPOREAN,EURASIAN,TEACHER,+6594474830,james.gomes@hotmail.com,830,BUKIT BATOK ST,#28-11,551524,F/20250508/2561,2025-04-21,2025-05-08,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,20698042,+6593367121,NA,NA,https://secure-dbs-login.com/verify,1417.34,"I received an SMS from +6593367121 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $1417.34 was made to TRUST account 20698042 on 2025-04-21.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
